total_deaths,total_recovered,active_cases,serious_or_critical,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population
120.0,0.0,0.0,0.0,347.0,2264004.0,6555338.0
524214.0,42579693.0,17692.0,698.0,373.0,843836914.0,600479.0
156458.0,5889534.0,4784.0,2771.0,561.0,97245391.0,348662.0
141224.0,7020835.0,65992.0,737.0,1642.0,51771715.0,602031.0
25216.0,2299985.0,1257.0,10.0,602.0,18529376.0,442197.0
7203.0,1499879.0,28369.0,28.0,1429.0,12144747.0,2409429.0
105.0,26794.0,1517.0,0.0,1223.0,150753.0,1755575.0
10749.0,4081150.0,14894.0,150.0,1153.0,41373364.0,4436346.0
165244.0,15894511.0,998118.0,347.0,2741.0,217853667.0,3613054.0
2995.0,84883.0,44102.0,0.0,1003.0,1031235.0,345445.0
30039.0,7951587.0,356585.0,139.0,239.0,50444181.0,401129.0
14048.0,1678941.0,1227.0,124.0,1352.0,16670254.0,1604177.0
13661.0,1291669.0,306.0,24.0,712.0,11575012.0,603023.0
5649.0,318142.0,235.0,0.0,101.0,3630986.0,64866.0
13.0,2602.0,478.0,3.0,106.0,0.0,0.0
2555.0,629114.0,405.0,3.0,582.0,8071763.0,1839430.0
2991.0,196406.0,1596.0,131.0,445.0,1907195.0,283613.0
754.0,0.0,0.0,0.0,101.0,1232128.0,164896.0
5798.0,816253.0,3648.0,6.0,3139.0,7217715.0,3907005.0
10407.0,1084853.0,2696.0,186.0,1538.0,4795578.0,708511.0
697.0,24155.0,8058.0,0.0,321.0,431221.0,198365.0
294.0,5747.0,1410.0,2.0,56.0,139824.0,26487.0
6430.0,490973.0,4501.0,101.0,913.0,2477219.0,351613.0
84.0,17192.0,71.0,1.0,2191.0,102174.0,2665501.0
9127.0,1032609.0,18883.0,11.0,3442.0,9954903.0,3754317.0
1073.0,235939.0,7170.0,0.0,1664.0,4248188.0,6586920.0
9289.0,300761.0,634.0,0.0,4459.0,2034606.0,976666.0
1393.0,59370.0,3473.0,14.0,48.0,430995.0,14854.0
2636.0,82703.0,548.0,67.0,131.0,578807.0,28868.0
35612.0,4409159.0,31102.0,47.0,1075.0,59274648.0,1788706.0
298.0,163687.0,15498.0,25.0,534.0,2213831.0,3965506.0
733.0,30088.0,182.0,0.0,34.0,675008.0,31636.0
713.0,90076.0,2719.0,4.0,1607.0,1904970.0,4293055.0
0.0,14.0,3.0,0.0,0.0,0.0,0.0
926.0,104.0,152223.0,8.0,2471.0,828928.0,2212109.0
982.0,57708.0,150.0,0.0,201.0,816126.0,167336.0
996.0,36183.0,664.0,0.0,781.0,358675.0,281160.0
187.0,2964.0,34212.0,0.0,656.0,176919.0,620616.0
324465.0,5044893.0,376294.0,4798.0,2468.0,15855490.0,120615.0
0.0,1.0,6.0,0.0,0.0,0.0,0.0
11489.0,504142.0,1355.0,49.0,2860.0,3216305.0,800772.0
54.0,11866.0,84.0,4.0,1358.0,54960.0,1382294.0
2179.0,313256.0,154450.0,192.0,645.0,4030048.0,1193522.0
2719.0,232955.0,603.0,6.0,4328.0,2465201.0,3924142.0
2.0,390.0,355.0,0.0,400.0,11238.0,2248499.0
16071.0,1149054.0,670.0,293.0,426.0,11237010.0,297864.0
2201.0,223190.0,102.0,13.0,67.0,1319772.0,40132.0
19434.0,592089.0,1617.0,0.0,353.0,8083326.0,146732.0
4028.0,153662.0,2384.0,0.0,1534.0,1018783.0,387873.0
0.0,5.0,3.0,0.0,0.0,0.0,0.0
11952.0,966904.0,142.0,0.0,397.0,5669140.0,188264.0
22292.0,7989151.0,55673.0,55.0,1296.0,21107399.0,1226784.0
312.0,60339.0,398.0,9.0,1074.0,98964.0,340539.0
923.0,989005.0,53755.0,0.0,185.0,7127584.0,1424918.0
225.0,4225.0,14041.0,0.0,33.0,0.0,0.0
310.0,8579.0,124.0,1.0,12.0,253043.0,9794.0
3143.0,249943.0,2773.0,11.0,15.0,5114703.0,23717.0
0.0,9.0,0.0,0.0,0.0,0.0,0.0
3061.0,0.0,0.0,20.0,557.0,11002430.0,2000372.0
4260.0,384592.0,556.0,2.0,796.0,25000000.0,4674286.0
30376.0,1494141.0,4732.0,109.0,133.0,28350449.0,123867.0
6.0,4166.0,707.0,1.0,329.0,49264.0,2698658.0
8203.0,773421.0,24653.0,16.0,1847.0,6019923.0,1355456.0
651.0,43200.0,25.0,7.0,70.0,249149.0,26898.0
18872.0,624673.0,6173.0,2.0,2587.0,2633737.0,360998.0
213023.0,0.0,0.0,248.0,6297.0,30226868.0,893567.0
60455.0,3624459.0,3008.0,289.0,538.0,29827732.0,265614.0
116207.0,5335112.0,552117.0,981.0,3077.0,36224215.0,959088.0
22583.0,0.0,0.0,61.0,2227.0,41903714.0,4131968.0
677.0,364474.0,1028.0,1.0,241.0,3487616.0,1242115.0
762.0,395430.0,9788.0,10.0,840.0,1603660.0,1767679.0
65612.0,0.0,0.0,138.0,3453.0,22954921.0,1208233.0
377670.0,17647179.0,235444.0,2300.0,2586.0,273400000.0,1871949.0
1459.0,45522.0,82926.0,0.0,108.0,5343203.0,394334.0
6.0,0.0,0.0,0.0,604.0,78646.0,7917648.0
0.0,2.0,0.0,0.0,0.0,0.0,0.0
43.0,5547.0,15.0,0.0,798.0,70707.0,1311818.0
368.0,23277.0,622.0,1.0,1987.0,143281.0,773697.0
63.0,1399.0,9140.0,7.0,1579.0,112382.0,2817015.0
1.0,2449.0,289.0,1.0,174.0,23687.0,4125936.0
106.0,6641.0,52.0,0.0,950.0,99138.0,888365.0
24.0,1605.0,9684.0,4.0,119.0,85921.0,427746.0
115.0,16454.0,283.0,4.0,3376.0,152231.0,4468970.0
73.0,5891.0,6.0,0.0,322.0,29036.0,128060.0
9116.0,743921.0,6189.0,61.0,254.0,42144668.0,1176452.0
1966.0,84059.0,14.0,0.0,112.0,1081824.0,61589.0
16049.0,1988209.0,8578.0,12.0,1851.0,9596815.0,1106664.0
167.0,42553.0,515.0,0.0,1679.0,0.0,0.0
125.0,0.0,0.0,0.0,15.0,259958.0,31400.0
1362.0,1162140.0,76731.0,8.0,229.0,23767171.0,4003881.0
86.0,9985.0,52.0,10.0,1964.0,62056.0,1417354.0
20041.0,1761664.0,5388.0,30.0,3667.0,7127129.0,1304244.0
6622.0,1003559.0,9287.0,9.0,3184.0,2656926.0,1277694.0
146.0,16357.0,1671.0,2.0,203.0,5117.0,7124.0
1350.0,13182.0,11986.0,0.0,81.0,400466.0,23953.0
100753.0,3708347.0,78349.0,192.0,1660.0,24841314.0,409239.0
23709.0,0.0,0.0,338.0,462.0,15804065.0,307763.0
138.0,13514.0,3873.0,1.0,12.0,389677.0,34068.0
105444.0,11548089.0,473589.0,339.0,2254.0,471036328.0,10067352.0
16511.0,646921.0,239.0,0.0,765.0,6486117.0,300555.0
5353.0,576684.0,82.0,17.0,1006.0,3078533.0,578432.0
4936.0,0.0,0.0,0.0,108.0,562941.0,12303.0
1337.0,49455.0,29216.0,0.0,2242.0,236268.0,396143.0
1402.0,69549.0,747.0,11.0,1186.0,1021394.0,863732.0
18864.0,2477725.0,8305.0,9.0,1846.0,18553837.0,1816057.0
13882.0,3551493.0,66506.0,78.0,1582.0,20927607.0,2385592.0
3150.0,52479.0,240.0,0.0,172.0,146269.0,7996.0
1068.0,60634.0,706841.0,0.0,45.0,16207475.0,678221.0
124.0,17264.0,0.0,0.0,12.0,0.0,0.0
840.0,0.0,0.0,7.0,13.0,0.0,0.0
29475.0,4273599.0,70772.0,1496.0,420.0,17270775.0,246281.0
131.0,22746.0,12.0,0.0,96.0,264799.0,193963.0
273.0,36727.0,23.0,0.0,32.0,735638.0,85144.0
11.0,10110.0,928.0,0.0,102.0,518262.0,4802012.0
3871.0,141354.0,9418.0,18.0,2749.0,726218.0,515806.0
28575.0,0.0,0.0,29.0,2372.0,4592916.0,381189.0
98890.0,14951238.0,3040.0,975.0,1149.0,160622710.0,1867071.0
36.0,5963.0,47.0,4.0,907.0,505354.0,12731886.0
3596.0,100205.0,60268.0,2.0,74.0,2612795.0,53950.0
176708.0,21677896.0,305201.0,253.0,2578.0,519264096.0,7574950.0
108449.0,0.0,0.0,177.0,2508.0,19521252.0,451415.0
2302.0,886128.0,14054.0,0.0,228.0,159103283.0,15732628.0
7213.0,892434.0,2893.0,18.0,2063.0,6114822.0,1749015.0
1026646.0,81244260.0,1938567.0,1941.0,3068.0,1016882505.0,3038939.0
1637.0,236974.0,191.0,23.0,48.0,1377915.0,40088.0
14.0,7974.0,469.0,0.0,44.0,24976.0,77926.0
5711.0,516170.0,1040.0,230.0,202.0,3359014.0,118752.0
43065.0,9355040.0,1298525.0,340.0,435.0,85811485.0,867048.0
7.0,438.0,9.0,0.0,644.0,20508.0,1886140.0
1.0,9.0,0.0,0.0,2.0,0.0,0.0
2149.0,9009.0,661.0,23.0,69.0,265253.0,8543.0
3983.0,315997.0,611.0,0.0,206.0,3452554.0,178497.0
5482.0,242417.0,1307.0,12.0,359.0,2287793.0,149863.0
